document_id,filename,field,expected_status,actual_status,expected_value,actual_value
D01,01_KellerForm_Bogner_Wartungsvertrag_DE.pdf,contract_title,found,found,"""Wartungs- und Servicevertrag""","""Wartungs- und Servicevertrag Stanz- und Rillmaschine, Typ SR-1420"""
D01,01_KellerForm_Bogner_Wartungsvertrag_DE.pdf,notice_delivery,found,found,"{""method"":""registered_post"",""address"":""Bogner Maschinenservice AG, Rorschacher Strasse 210, 9016 St. Gallen"",""cc"":[]}","{""method"":""registered_post"",""address"":""Bogner Maschinenservice AG, Rorschacher Strasse 210, 9016 St. Gallen, Schweiz"",""cc"":[]}"
D02,02_KellerForm_Bogner_Nachtrag_Nr1_DE.pdf,contract_title,found,found,"""Nachtrag Nr. 1""","""Nachtrag Nr. 1 zum Wartungs- und Servicevertrag Nr. WV-2023-0417"""
D02,02_KellerForm_Bogner_Nachtrag_Nr1_DE.pdf,billing_frequency,not_found,found,,"""annual"""
D03,03_KellerForm_Renderling_SubscriptionAgreement_EN.pdf,document_type,found,found,"""master_agreement""","""order_form"""
D03,03_KellerForm_Renderling_SubscriptionAgreement_EN.pdf,contract_title,found,found,"""Subscription Agreement""","""Subscription Agreement Renderling Studio Pro — 12 seats, 4,000 render credits per annum"""
D04,04_NordWelle_RheinlandFuhrpark_Rahmenmietvertrag_DE.pdf,contract_type,found,found,"""infrastructure""","""equipment_lease"""
D04,04_NordWelle_RheinlandFuhrpark_Rahmenmietvertrag_DE.pdf,notice_period,found,found,"[{""amount"":3,""unit"":""months"",""anchor"":""period_end_quarter"",""purpose"":""non_renewal""}]","[{""amount"":3,""unit"":""months"",""anchor"":""period_end_quarter"",""purpose"":""termination_for_convenience""}]"
D04,04_NordWelle_RheinlandFuhrpark_Rahmenmietvertrag_DE.pdf,notice_delivery,found,found,"{""method"":""registered_post"",""address"":""Rheinland Fuhrpark GmbH, Geschäftsleitung, Kaiserswerther Strasse 88, 40477 Düsseldorf"",""cc"":[]}","{""method"":""registered_post"",""address"":""Geschäftsleitung, Rheinland Fuhrpark GmbH, Kaiserswerther Strasse 88, 40477 Düsseldorf, Deutschland"",""cc"":[]}"
D05,05_NordWelle_Servio_MasterSubscriptionAgreement_EN.pdf,vendor_legal_name,found,found,"""Servio Field Solutions B.V.""","""SERVIO FIELD SOLUTIONS B.V."""
D05,05_NordWelle_Servio_MasterSubscriptionAgreement_EN.pdf,contract_title,found,found,"""Master Subscription Agreement""","""Master Subscription Agreement Servio Field Platform — 140 technician licences"""
